Title                                                                                                                                                                                                                                                                   | Journal                                         | Year | Dataset source
Comparative Transcriptomics Analyses across Species, Organs, and Developmental Stages Reveal Functionally Constrained lncRNAs.                                                                                                                                          | Mol Biol Evol                                   | 2020 | All           
"Lost and Found": snoRNA Annotation in the Xenopus Genome and Implications for Evolutionary Studies.                                                                                                                                                                    | Mol Biol Evol                                   | 2020 | All           
Using SNP Weights Derived From Gene Expression Modules to Improve GWAS Power for Feed Efficiency in Pigs.                                                                                                                                                               | Front Genet                                     | 2019 | All           
Impact of genotype, body weight and sex on the prenatal muscle transcriptome of Iberian pigs.                                                                                                                                                                           | PLoS One                                        | 2020 | All           
m6A Methylation Analysis of Differentially Expressed Genes in Skin Tissues of Coarse and Fine Type Liaoning Cashmere Goats.                                                                                                                                             | Front Genet                                     | 2019 | All           
Genome-wide methylation and transcriptome of blood neutrophils reveal the roles of DNA methylation in affecting transcription of protein-coding genes and miRNAs in E. coli-infected mastitis cows.                                                                     | BMC Genomics                                    | 2020 | All           
Genomic regions associated with muscularity in beef cattle differ in five contrasting cattle breeds.                                                                                                                                                                    | Genet Sel Evol                                  | 2020 | All           
Identification of eQTLs and sQTLs associated with meat quality in beef.                                                                                                                                                                                                 | BMC Genomics                                    | 2020 | All           
Genomic and phenotypic analyses of six offspring of a genome-edited hornless bull.                                                                                                                                                                                      | Nat Biotechnol                                  | 2020 | All           
Genomic Regions Associated With Skeletal Type Traits in Beef and Dairy Cattle Are Common to Regions Associated With Carcass Traits, Feed Intake and Calving Difficulty.                                                                                                 | Front Genet                                     | 2020 | All           
Enhanced pre-pubertal nutrition upregulates mitochondrial function in testes and sperm of post-pubertal Holstein bulls.                                                                                                                                                 | Sci Rep                                         | 2020 | All           
Global Analysis of Alternative Splicing Difference in Peripheral Immune Organs between Tongcheng Pigs and Large White Pigs Artificially Infected with PRRSV In Vivo.                                                                                                    | Biomed Res Int                                  | 2020 | All           
Maternal Recognition of Pregnancy in the Horse: Are MicroRNAs the Secret Messengers?                                                                                                                                                                                    | Int J Mol Sci                                   | 2020 | All           
The wild species genome ancestry of domestic chickens.                                                                                                                                                                                                                  | BMC Biol                                        | 2020 | All           
Genome-Wide Association Study and Subsequent Exclusion of ATCAY as a Candidate Gene Involved in Equine Neuroaxonal Dystrophy Using Two Animal Models.                                                                                                                   | Genes (Basel)                                   | 2020 | All           
Functionally Annotating Regulatory Elements in the Equine Genome Using Histone Mark ChIP-Seq.                                                                                                                                                                           | Genes (Basel)                                   | 2019 | FAANG only    
Transcriptional Differences of Coding and Non-Coding Genes Related to the Absence of Melanocyte in Skins of Bama Pig.                                                                                                                                                   | Genes (Basel)                                   | 2019 | All           
Characterisation of the developing heart in a pressure overloaded model utilising RNA sequencing to direct functional analysis.                                                                                                                                         | J Anat                                          | 2020 | All           
Integrated Analysis of Differentially Expressed miRNAs and mRNAs in Goat Skin Fibroblast Cells in Response to Orf Virus Infection Reveals That cfa-let-7a Regulates Thrombospondin 1 Expression.                                                                        | Viruses                                         | 2020 | All           
Alveolar Macrophage Chromatin Is Modified to Orchestrate Host Response to Mycobacterium bovis Infection.                                                                                                                                                                | Front Genet                                     | 2019 | All           
Atmospheric Ammonia Affects Myofiber Development and Lipid Metabolism in Growing Pig Muscle.                                                                                                                                                                            | Animals (Basel)                                 | 2019 | All           
Emerging Roles of Heat-Induced circRNAs Related to Lactogenesis in Lactating Sows.                                                                                                                                                                                      | Front Genet                                     | 2019 | All           
Functional Annotation of the Transcriptome of the Pig, Sus scrofa, Based Upon Network Analysis of an RNAseq Transcriptional Atlas.                                                                                                                                      | Front Genet                                     | 2019 | All           
Osteogenesis imperfecta in a male holstein calf associated with a possible oligogenic origin.                                                                                                                                                                           | Vet Q                                           | 2020 | All           
Purging of highly deleterious mutations through severe bottlenecks in Alpine ibex.                                                                                                                                                                                      | Nat Commun                                      | 2020 | All           
Comparative Transcriptome Analysis Provides Insights into the Polyunsaturated Fatty Acid Synthesis Regulation of Fat-1 Transgenic Sheep.                                                                                                                                | Int J Mol Sci                                   | 2020 | All           
An eQTL in the cystathionine beta synthase gene is linked to osteoporosis in laying hens.                                                                                                                                                                               | Genet Sel Evol                                  | 2020 | All           
Marek's disease vaccines-induced differential expression of known and novel microRNAs in primary lymphoid organ bursae of White Leghorn.                                                                                                                                | Vet Res                                         | 2020 | All           
A de novo reference transcriptome for Bolitoglossa vallecula, an Andean mountain salamander in Colombia.                                                                                                                                                                | Data Brief                                      | 2020 | All           
Testis transcriptome profiling identified genes involved in spermatogenic arrest of cattleyak.                                                                                                                                                                          | PLoS One                                        | 2020 | All           
Metabolomics and the pig model reveal aberrant cardiac energy metabolism in metabolic syndrome.                                                                                                                                                                         | Sci Rep                                         | 2020 | All           
Whole-Genome Methylation Analysis Reveals Epigenetic Variation in Cloned and Donor Pigs.                                                                                                                                                                                | Front Genet                                     | 2020 | All           
Identification and characterization of circRNAs in the skin during wool follicle development in Aohan fine wool sheep.                                                                                                                                                  | BMC Genomics                                    | 2020 | All           
Postprandial transfer of colostral extracellular vesicles and their protein and miRNA cargo in neonatal calves.                                                                                                                                                         | PLoS One                                        | 2020 | All           
Effect direction meta-analysis of GWAS identifies extreme, prevalent and shared pleiotropy in a large mammal.                                                                                                                                                           | Commun Biol                                     | 2020 | All           
Evaluation via Supervised Machine Learning of the Broiler Pectoralis Major and Liver Transcriptome in Association With the Muscle Myopathy Wooden Breast.                                                                                                               | Front Physiol                                   | 2020 | All           
Transcriptomic Study of Porcine Small Intestine Epithelial Cells Reveals Important Genes and Pathways Associated With Susceptibility to Escherichia coli F4ac Diarrhea.                                                                                                 | Front Genet                                     | 2020 | All           
Genome-wide analysis reveals molecular convergence underlying domestication in 7 bird and mammals.                                                                                                                                                                      | BMC Genomics                                    | 2020 | All           
Odontogenic infection by Porphyromonas gingivalis exacerbates fibrosis in NASH via hepatic stellate cell activation.                                                                                                                                                    | Sci Rep                                         | 2020 | All           
Introgression of Eastern Chinese and Southern Chinese haplotypes contributes to the improvement of fertility and immunity in European modern pigs.                                                                                                                      | Gigascience                                     | 2020 | All           
Whole Genome Scan and Selection Signatures for Climate Adaption in Yanbian Cattle.                                                                                                                                                                                      | Front Genet                                     | 2020 | All           
Pituitary-Derived Circular RNAs Expression and Regulatory Network Prediction During the Onset of Puberty in Landrace × Yorkshire Crossbred Pigs.                                                                                                                        | Front Genet                                     | 2020 | All           
Trend analysis of the role of circular RNA in goat skeletal muscle development.                                                                                                                                                                                         | BMC Genomics                                    | 2020 | All           
Analyzing the genomic and transcriptomic architecture of milk traits in Murciano-Granadina goats.                                                                                                                                                                       | J Anim Sci Biotechnol                           | 2020 | All           
Transcript profiling of bovine embryos implicates specific transcription factors in the maternal-to-embryo transition.                                                                                                                                                  | Biol Reprod                                     | 2020 | All           
Combinatorial Discriminant Analysis Applied to RNAseq Data Reveals a Set of 10 Transcripts as Signatures of Exposure of Cattle to Mycobacterium avium subsp. paratuberculosis.                                                                                          | Animals (Basel)                                 | 2020 | All           
Gene Expression Profiling in Ovaries and Association Analyses Reveal HEP21 as a Candidate Gene for Sexual Maturity in Chickens.                                                                                                                                         | Animals (Basel)                                 | 2020 | All           
A transcriptional landscape of 28 porcine tissues obtained by super deepSAGE sequencing.                                                                                                                                                                                | BMC Genomics                                    | 2020 | All           
The Oviductal Extracellular Vesicles' RNA Cargo Regulates the Bovine Embryonic Transcriptome.                                                                                                                                                                           | Int J Mol Sci                                   | 2020 | All           
Inguinal Ring RNA Sequencing Reveals Downregulation of Muscular Genes Related to Scrotal Hernia in Pigs.                                                                                                                                                                | Genes (Basel)                                   | 2020 | All           
Identification of ADPKD-Related Genes and Pathways in Cells Overexpressing <i>PKD2</i>.                                                                                                                                                                                 | Genes (Basel)                                   | 2020 | All           
The <i>LCORL</i> Locus is under Selection in Large-Sized Pakistani Goat Breeds.                                                                                                                                                                                         | Genes (Basel)                                   | 2020 | All           
Altered Hippocampal Epigenetic Regulation Underlying Reduced Cognitive Development in Response to Early Life Environmental Insults.                                                                                                                                     | Genes (Basel)                                   | 2020 | All           
Non-invasive evaluation of the equine gastrointestinal mucosal transcriptome.                                                                                                                                                                                           | PLoS One                                        | 2020 | All           
Genome-wide identification and analysis of circular RNAs differentially expressed in the longissimus dorsi between Kazakh cattle and Xinjiang brown cattle.                                                                                                             | PeerJ                                           | 2020 | All           
Cis-regulatory analysis of Onecut1 expression in fate-restricted retinal progenitor cells.                                                                                                                                                                              | Neural Dev                                      | 2020 | All           
miR-9-5p Inhibits Skeletal Muscle Satellite Cell Proliferation and Differentiation by Targeting IGF2BP3 through the IGF2-PI3K/Akt Signaling Pathway.                                                                                                                    | Int J Mol Sci                                   | 2020 | All           
Systematic alteration of ATAC-seq for profiling open chromatin in cryopreserved nuclei preparations from livestock tissues.                                                                                                                                             | Sci Rep                                         | 2020 | All           
Bioinformatics analysis of vascular RNA-seq data revealed hub genes and pathways in a novel Tibetan minipig atherosclerosis model induced by a high fat/cholesterol diet.                                                                                               | Lipids Health Dis                               | 2020 | All           
Postnatal Gut Immunity and Microbiota Development Is Minimally Affected by Prenatal Inflammation in Preterm Pigs.                                                                                                                                                       | Front Immunol                                   | 2020 | All           
Whole genome resequencing reveals an association of ABCC4 variants with preaxial polydactyly in pigs.                                                                                                                                                                   | BMC Genomics                                    | 2020 | All           
Comprehensive analysis of mRNAs and miRNAs in the ovarian follicles of uniparous and multiple goats at estrus phase.                                                                                                                                                    | BMC Genomics                                    | 2020 | All           
Porcine endemic diarrhea virus infection regulates long noncoding RNA expression.                                                                                                                                                                                       | Virology                                        | 2019 | All           
Genomic Signatures of Selection Associated With Litter Size Trait in Jining Gray Goat.                                                                                                                                                                                  | Front Genet                                     | 2020 | All           
The emergence of the brain non-CpG methylation system in vertebrates.                                                                                                                                                                                                   | Nat Ecol Evol                                   | 2021 | All           
Continuous chromosome-scale haplotypes assembled from a single interspecies F1 hybrid of yak and cattle.                                                                                                                                                                | Gigascience                                     | 2020 | All           
Molecular and genetic regulation of pig pancreatic islet cell development.                                                                                                                                                                                              | Development                                     | 2020 | All           
Stable intronic sequence RNAs (sisRNAs) are selected regions in introns with distinct properties.                                                                                                                                                                       | BMC Genomics                                    | 2020 | All           
Exploring the roles of fecundity-related long non-coding RNAs and mRNAs in the adrenal glands of small-tailed Han Sheep.                                                                                                                                                | BMC Genet                                       | 2020 | All           
Comprehensive Analysis of Differentially Expressed Profiles of mRNA, lncRNA, and circRNA in the Uterus of Seasonal Reproduction Sheep.                                                                                                                                  | Genes (Basel)                                   | 2020 | All           
Characterization of A Homozygous Deletion of Steroid Hormone Biosynthesis Genes in Horse Chromosome 29 as A Risk Factor for Disorders of Sex Development and Reproduction.                                                                                              | Genes (Basel)                                   | 2020 | All           
Skin transcriptome profiling of Changthangi goats highlights the relevance of genes involved in Pashmina production.                                                                                                                                                    | Sci Rep                                         | 2020 | All           
The Landscape of DNA Methylation Associated With the Transcriptomic Network of Intramuscular Adipocytes Generates Insight Into Intramuscular Fat Deposition in Chicken.                                                                                                 | Front Cell Dev Biol                             | 2020 | All           
Whole genome detection of sequence and structural polymorphism in six diverse horses.                                                                                                                                                                                   | PLoS One                                        | 2020 | All           
Bovine Genome Database: new annotation tools for a new reference genome.                                                                                                                                                                                                | Nucleic Acids Res                               | 2020 | All           
Deoxynivalenol Induces Inflammation in IPEC-J2 Cells by Activating P38 Mapk And Erk1/2.                                                                                                                                                                                 | Toxins (Basel)                                  | 2020 | All           
Global gene expression analysis data of chicken dendritic cells infected with H9N2 avian influenza virus.                                                                                                                                                               | Data Brief                                      | 2020 | All           
Modulation of stress and immune response by Amblyomin-X results in tumor cell death in a horse melanoma model.                                                                                                                                                          | Sci Rep                                         | 2020 | All           
Sperm DNA damage causes genomic instability in early embryonic development.                                                                                                                                                                                             | Sci Adv                                         | 2020 | All           
Exploring differentially expressed genes between anagen and telogen secondary hair follicle stem cells from the Cashmere goat (Capra hircus) by RNA-Seq.                                                                                                                | PLoS One                                        | 2020 | All           
Gene Regulatory and Expression Differences between Mouse and Pig Limb Buds Provide Insights into the Evolutionary Emergence of Artiodactyl Traits.                                                                                                                      | Cell Rep                                        | 2020 | All           
Differential Response of the Chicken Trachea to Chronic Infection with Virulent Mycoplasma gallisepticum Strain Ap3AS and Vaxsafe MG (Strain ts-304): a Transcriptional Profile.                                                                                        | Infect Immun                                    | 2020 | All           
CNV analysis of Meishan pig by next-generation sequencing and effects of <i>AHR</i> gene CNV on pig reproductive traits.                                                                                                                                                | J Anim Sci Biotechnol                           | 2020 | All           
Host Src controls gallid alpha herpesvirus 1 intercellular spread in a cellular fatty acid metabolism-dependent manner.                                                                                                                                                 | Virology                                        | 2019 | All           
Rapid Gut Adaptation to Preterm Birth Involves Feeding-Related DNA Methylation Reprogramming of Intestinal Genes in Pigs.                                                                                                                                               | Front Immunol                                   | 2020 | All           
Dysbacteriosis-Derived Lipopolysaccharide Causes Embryonic Osteopenia through Retinoic-Acid-Regulated DLX5 Expression.                                                                                                                                                  | Int J Mol Sci                                   | 2020 | All           
Generation of an enteric smooth muscle cell line from the pig ileum.                                                                                                                                                                                                    | J Anim Sci                                      | 2020 | All           
Weaning Alters Intestinal Gene Expression Involved in Nutrient Metabolism by Shaping Gut Microbiota in Pigs.                                                                                                                                                            | Front Microbiol                                 | 2020 | All           
Loss of RAD9B impairs early neural development and contributes to the risk for human spina bifida.                                                                                                                                                                      | Hum Mutat                                       | 2020 | All           
Developmental programming: prenatal testosterone-induced epigenetic modulation and its effect on gene expression in sheep ovary†.                                                                                                                                       | Biol Reprod                                     | 2020 | All           
Transcriptome profiling of developing testes and spermatogenesis in the Mongolian horse.                                                                                                                                                                                | BMC Genet                                       | 2020 | All           
Investigating the epithelial barrier and immune signatures in the pathogenesis of equine insect bite hypersensitivity.                                                                                                                                                  | PLoS One                                        | 2020 | All           
Early chromatin shaping predetermines multipotent vagal neural crest into neural, neuronal and mesenchymal lineages.                                                                                                                                                    | Nat Cell Biol                                   | 2019 | All           
Haplotype-resolved genomes provide insights into structural variation and gene content in Angus and Brahman cattle.                                                                                                                                                     | Nat Commun                                      | 2020 | All           
Polymorphisms in miRNA binding sites involved in metabolic diseases in mice and humans.                                                                                                                                                                                 | Sci Rep                                         | 2020 | All           
Analysis of DNA methylation profiles during sheep skeletal muscle development using whole-genome bisulfite sequencing.                                                                                                                                                  | BMC Genomics                                    | 2020 | All           
Milk exosome-derived miRNAs from water buffalo are implicated in immune response and metabolism process.                                                                                                                                                                | BMC Vet Res                                     | 2020 | All           
Effect of dietary supplementation with yeast cell wall extracts on performance and gut response in broiler chickens.                                                                                                                                                    | J Anim Sci Biotechnol                           | 2020 | All           
Comparative effectiveness of probiotic-based formulations on cecal microbiota modulation in broilers.                                                                                                                                                                   | PLoS One                                        | 2020 | All           
Hepatic Transcriptome Analysis Identifies Divergent Pathogen-Specific Targeting-Strategies to Modulate the Innate Immune System in Response to Intramammary Infection.                                                                                                  | Front Immunol                                   | 2020 | All           
Transcriptome analysis identifies genes involved with the development of umbilical hernias in pigs.                                                                                                                                                                     | PLoS One                                        | 2020 | All           
Genomic analysis reveals selection signatures of the Wannan Black pig during domestication and breeding.                                                                                                                                                                | Asian-Australas J Anim Sci                      | 2020 | All           
Temporal expression profiling of long noncoding RNA and mRNA in the peripheral blood during porcine development.                                                                                                                                                        | Asian-Australas J Anim Sci                      | 2020 | All           
Nutrigenomic Effects of Long-Term Grape Pomace Supplementation in Dairy Cows.                                                                                                                                                                                           | Animals (Basel)                                 | 2020 | All           
Identification of circular RNAs in porcine sperm and evaluation of their relation to sperm motility.                                                                                                                                                                    | Sci Rep                                         | 2020 | All           
Myocardial micro-biopsy procedure for molecular characterization with increased precision and reduced trauma.                                                                                                                                                           | Sci Rep                                         | 2020 | All           
High confidence copy number variants identified in Holstein dairy cattle from whole genome sequence and genotype array data.                                                                                                                                            | Sci Rep                                         | 2020 | All           
miR-99a-5p Regulates the Proliferation and Differentiation of Skeletal Muscle Satellite Cells by Targeting MTMR3 in Chicken.                                                                                                                                            | Genes (Basel)                                   | 2020 | All           
Knockout of IRF7 Highlights its Modulator Function of Host Response Against Avian Influenza Virus and the Involvement of MAPK and TOR Signaling Pathways in Chicken.                                                                                                    | Genes (Basel)                                   | 2020 | All           
Gallop Racing Shifts Mature mRNA towards Introns: Does Exercise-Induced Stress Enhance Genome Plasticity?                                                                                                                                                               | Genes (Basel)                                   | 2020 | All           
Gene Expression Profiling of <i>Corpus luteum</i> Reveals Important Insights about Early Pregnancy in Domestic Sheep.                                                                                                                                                   | Genes (Basel)                                   | 2020 | All           
Comparative Transcriptomic Analysis of Subcutaneous Adipose Tissue from Local Pig Breeds.                                                                                                                                                                               | Genes (Basel)                                   | 2020 | All           
Muscle transcriptome analysis identifies genes involved in ciliogenesis and the molecular cascade associated with intramuscular fat content in Large White heavy pigs.                                                                                                  | PLoS One                                        | 2020 | All           
A De Novo MITF Deletion Explains a Novel Splashed White Phenotype in an American Paint Horse.                                                                                                                                                                           | J Hered                                         | 2020 | All           
Genome-wide transcriptome analysis reveals equine embryonic stem cell-derived tenocytes resemble fetal, not adult tenocytes.                                                                                                                                            | Stem Cell Res Ther                              | 2020 | All           
Identification of Reference Genes in Chicken Intraepithelial Lymphocyte Natural Killer Cells Infected with Very-virulent Infectious Bursal Disease Virus.                                                                                                               | Sci Rep                                         | 2020 | All           
Systematic identification of chicken type I, II and III interferon-stimulated genes.                                                                                                                                                                                    | Vet Res                                         | 2020 | All           
An IL17RA frameshift variant in a Holstein cattle family with psoriasis-like skin alterations and immunodeficiency.                                                                                                                                                     | BMC Genet                                       | 2020 | All           
MicroRNA Profiling Reveals an Abundant miR-200a-3p Promotes Skeletal Muscle Satellite Cell Development by Targeting TGF-β2 and Regulating the TGF‑β2/SMAD Signaling Pathway.                                                                                            | Int J Mol Sci                                   | 2020 | All           
The Interaction of lncRNA XLOC-2222497, <i>AKR1C1,</i> and Progesterone in Porcine Endometrium and Pregnancy.                                                                                                                                                           | Int J Mol Sci                                   | 2020 | All           
Identification and Annotation of Potential Function of Regulatory Antisense Long Non-Coding RNAs Related to Feed Efficiency in <i>Bos taurus</i> Bulls.                                                                                                                 | Int J Mol Sci                                   | 2020 | FAANG only    
Interactions Among Expressed MicroRNAs and mRNAs in the Early Stages of Fowl Adenovirus Aerotype 4-Infected Leghorn Male Hepatocellular Cells.                                                                                                                          | Front Microbiol                                 | 2020 | All           
Transcriptome profiling of porcine testis tissue reveals genes related to sperm hyperactive motility.                                                                                                                                                                   | BMC Vet Res                                     | 2020 | All           
Selection signatures in tropical cattle are enriched for promoter and coding regions and reveal missense mutations in the damage response gene HELB.                                                                                                                    | Genet Sel Evol                                  | 2020 | All           
Activation of cryptic splicing in bovine WDR19 is associated with reduced semen quality and male fertility.                                                                                                                                                             | PLoS Genet                                      | 2020 | All           
Reprogramming Axial Level Identity to Rescue Neural-Crest-Related Congenital Heart Defects.                                                                                                                                                                             | Dev Cell                                        | 2020 | All           
Unblending of Transcriptional Condensates in Human Repeat Expansion Disease.                                                                                                                                                                                            | Cell                                            | 2020 | All           
Comprehensive analyses of 723 transcriptomes enhance genetic and biological interpretations for complex traits in cattle.                                                                                                                                               | Genome Res                                      | 2020 | All           
Deep-Sequencing Identification of MicroRNA Biomarkers in Serum Exosomes for Early Pig Pregnancy.                                                                                                                                                                        | Front Genet                                     | 2020 | All           
Potential Diagnostic Value of the Peripheral Blood Mononuclear Cell Transcriptome From Cattle With Bovine Tuberculosis.                                                                                                                                                 | Front Vet Sci                                   | 2020 | All           
LPS-treatment of bovine endometrial epithelial cells causes differential DNA methylation of genes associated with inflammation and endometrial function.                                                                                                                | BMC Genomics                                    | 2020 | All           
Cecal microbiome composition and metabolic function in probiotic treated broilers.                                                                                                                                                                                      | PLoS One                                        | 2020 | All           
Whole-genome resequencing of wild and domestic sheep identifies genes associated with morphological and agronomic traits.                                                                                                                                               | Nat Commun                                      | 2020 | All           
Regional Dichotomy in Enteric Mucosal Immune Responses to a Persistent <i>Mycobacterium avium</i> ssp. <i>paratuberculosis</i> Infection.                                                                                                                               | Front Immunol                                   | 2020 | All           
